Rank	Hole Cards	Overall	WinHi %	TieHi %	WinLo %	TieLo %	Occur %	Cumul %
214	A- A- 5x 2x	21.8643	11.3125	0.6032	22.4601	11.8275	0.0044	1.2787
215	Ax 5x 4- 2x	21.8552	8.4111	2.0747	23.0497	18.3746	0.0044	1.2831
216	Ax 4x 4y 2y	21.8508	10.7484	0.6783	22.2029	14.4929	0.0044	1.2876
217	Ax 4x 2x 2-	21.8455	8.6422	0.5476	25.4428	13.4	0.0044	1.292
218	Ax 5- 4x 2x	21.825	8.3798	2.1181	23.048	18.4045	0.0044	1.2964
219	Ax Kx Ky 3y	21.8221	18.779	0.9447	10.628	9.4863	0.0044	1.3009
220	Ax Ky Qy 2x	21.774	15.1004	2.7362	13.8777	12.1098	0.0044	1.3053
221	Ax Tx 4- 2-	21.7644	9.4857	1.9571	20.9623	17.1966	0.0088	1.3142
222	Ax Ay 8x 3y	21.7602	19.0189	0.2554	13.7701	7.6174	0.0044	1.3186
223	A- Q- 3x 2x	21.7509	5.7979	1.8392	24.303	19.7377	0.0088	1.3275
224	Ax A- Tx 2x	21.7414	14.3745	0.8016	18.2404	9.718	0.0044	1.3319
225	Ax A- Kx 2x	21.7403	14.3454	0.8413	18.1766	9.6225	0.0044	1.3363
226	Ax A- Qx 2x	21.7267	14.3701	0.8052	18.2605	9.6316	0.0044	1.3408
227	Ax K- 4x 2x	21.7229	8.8974	2.0396	20.9997	17.2077	0.0044	1.3452
228	Ax A- Jx 2x	21.7229	14.3795	0.8013	18.2524	9.6674	0.0044	1.3496
229	A- A- 4x 3x	21.7194	11.5851	0.7937	21.7646	11.7778	0.0044	1.3541
230	Ax Ky Qx 2y	21.7136	15.1089	2.7157	13.9554	12.0887	0.0044	1.3585
231	Ax 7- 3- 2x	21.6925	8.5363	1.085	22.8295	18.5357	0.0088	1.3673
232	Ax 7x 3- 2-	21.6869	8.5825	1.0812	22.7405	18.5331	0.0088	1.3762
